username, created_at, lng, lat, text
hanukkahlewins, Tue Jan 26 06:08:41 +0000 2021, -81.109617, 32.017285, @itslilgambino i’m bothered! 
vannasmiless, Tue Jan 26 06:08:41 +0000 2021, -95.446486, 29.838495, @kayyDione thank you babe 🤎 
pslarson2, Tue Jan 26 06:08:41 +0000 2021, -69.649701, 44.546713, Crazy to think that guys (yes, guys) used to walk out of a masters program straight into tenure 
stillaBreckGirl, Tue Jan 26 06:08:41 +0000 2021, -71.114393, 42.044572, Someone needs to explain Twitter rules to me. I thought you ignored a comment from someone you didn't want to chat… https://t.co/Vfo3tvP2kt 
lewischilton, Tue Jan 26 06:08:41 +0000 2021, -118.199716, 34.210634, @MikeGriffith32 Every program dominates the off-season in the weight-room.  Ask Tennessee. 
andrewr44048438, Tue Jan 26 06:08:42 +0000 2021, -97.863458, 29.989242, @TonyisFuego Damn 
barnacleboi777, Tue Jan 26 06:08:42 +0000 2021, -118.411907, 34.020789, dam i havent played a video game in 4 months lmao i kinda miss that shit 
curlylockx13, Tue Jan 26 06:08:42 +0000 2021, -156.296320, 20.898318, 🤣⛵ 
SuebobMua, Tue Jan 26 06:08:42 +0000 2021, -116.979453, 33.784916, @shawtyastrology Major. So interesting to me. 
spear_of_stars, Tue Jan 26 06:08:42 +0000 2021, -71.165499, 42.649235, @RandPaul Rand...a life hack for you: If you have Nazis on your side...find another fucking side. Or fuck you. https://t.co/X3qPiTCBEd 
CarlosSoto1922, Tue Jan 26 06:08:43 +0000 2021, -111.498181, 28.969863, @JudithCohen23 Te amooooo😍😍😍 
KCooper12187, Tue Jan 26 06:08:43 +0000 2021, -83.804475, 27.698682, @schumannbot You play the Most beautiful #MusicforOurSouls 
irootsorg, Tue Jan 26 06:08:43 +0000 2021, -86.441236, 39.766555, @RealSaavedra @Google I demand Google fund these heroes! https://t.co/2QcKoveUnM 
lexxiholt, Tue Jan 26 06:08:43 +0000 2021, -104.789327, 38.888519, @morphew_caterra i love you immensely 🤍 
_keelahhh_, Tue Jan 26 06:08:43 +0000 2021, -92.633835, 32.536900, i want a new tattoo so fucking bad 
BrownJacquelyn, Tue Jan 26 06:08:43 +0000 2021, -119.827182, 39.512436, @SenSchumer Thank you Senator Schumer for not standing down and sticking to what is important. May God keep and Ble… https://t.co/hGOjGzKeXi 
Flyingace773, Tue Jan 26 06:08:44 +0000 2021, -122.266787, 37.554668, @mima86254028 mimaさんこんにちは😃ロスに比べてシスコは肌寒い日々です🥶日本の最低気温って、確か旭川の北にある幌加内町ですよね。北海道は大学時代に隅々まで回ったのでそのエピソードも記憶にあります⛄️ましゃ活… https://t.co/Fu8vLysMQx 
